function	function_usr	provenance	current_source	current_header	original_source	original_header	linux	macos	freebsd	native_function	native_function_usr
p101_mlock	c:@F@p101_mlock	POSIX-optional	libraries/lib_memory/src/memory.c	libraries/lib_memory/include/p101_memory/memory.h	libraries/lib_posix_optional/src/sys/mman.c	libraries/lib_posix_optional/include/p101_posix_optional/sys/p101_mman.h	yes	yes	yes	mlock	c:@F@mlock
p101_mlockall	c:@F@p101_mlockall	POSIX-optional	libraries/lib_memory/src/memory.c	libraries/lib_memory/include/p101_memory/memory.h	libraries/lib_posix_optional/src/sys/mman.c	libraries/lib_posix_optional/include/p101_posix_optional/sys/p101_mman.h	yes	yes	yes	mlockall	c:@F@mlockall
p101_mmap	c:@F@p101_mmap	POSIX	libraries/lib_memory/src/memory.c	libraries/lib_memory/include/p101_memory/memory.h	libraries/lib_posix/src/sys/mman.c	libraries/lib_posix/include/p101_posix/sys/p101_mman.h	yes	yes	yes	mmap	c:@F@mmap
p101_mprotect	c:@F@p101_mprotect	POSIX	libraries/lib_memory/src/memory.c	libraries/lib_memory/include/p101_memory/memory.h	libraries/lib_posix/src/sys/mman.c	libraries/lib_posix/include/p101_posix/sys/p101_mman.h	yes	yes	yes	mprotect	c:@F@mprotect
p101_msync	c:@F@p101_msync	XSI	libraries/lib_memory/src/memory.c	libraries/lib_memory/include/p101_memory/memory.h	libraries/lib_posix_xsi/src/sys/mman.c	libraries/lib_posix_xsi/include/p101_posix_xsi/sys/p101_mman.h	yes	yes	yes	msync	c:@F@msync
p101_munlock	c:@F@p101_munlock	POSIX-optional	libraries/lib_memory/src/memory.c	libraries/lib_memory/include/p101_memory/memory.h	libraries/lib_posix_optional/src/sys/mman.c	libraries/lib_posix_optional/include/p101_posix_optional/sys/p101_mman.h	yes	yes	yes	munlock	c:@F@munlock
p101_munlockall	c:@F@p101_munlockall	POSIX-optional	libraries/lib_memory/src/memory.c	libraries/lib_memory/include/p101_memory/memory.h	libraries/lib_posix_optional/src/sys/mman.c	libraries/lib_posix_optional/include/p101_posix_optional/sys/p101_mman.h	yes	yes	yes	munlockall	c:@F@munlockall
p101_munmap	c:@F@p101_munmap	POSIX	libraries/lib_memory/src/memory.c	libraries/lib_memory/include/p101_memory/memory.h	libraries/lib_posix/src/sys/mman.c	libraries/lib_posix/include/p101_posix/sys/p101_mman.h	yes	yes	yes	munmap	c:@F@munmap
p101_posix_madvise	c:@F@p101_posix_madvise	POSIX-optional	libraries/lib_memory/src/memory.c	libraries/lib_memory/include/p101_memory/memory.h	libraries/lib_posix_optional/src/sys/mman.c	libraries/lib_posix_optional/include/p101_posix_optional/sys/p101_mman.h	yes	yes	yes	posix_madvise	c:@F@posix_madvise
p101_posix_memalign	c:@F@p101_posix_memalign	POSIX-optional	libraries/lib_memory/src/memory.c	libraries/lib_memory/include/p101_memory/memory.h	libraries/lib_posix_optional/src/stdlib.c	libraries/lib_posix_optional/include/p101_posix_optional/p101_stdlib.h	yes	yes	yes	posix_memalign	c:@F@posix_memalign
